url,title,location,price,price_numeric,original_price,original_price_numeric,savings,property_type,building_size,land_size,electricity,floors,updated_date,posted_by,description,installment_info,specifications_text,spec_carport,spec_daya_listrik,spec_garasi,spec_jumlah_lantai,spec_kamar_mandi,spec_kamar_mandi_pembantu,spec_kamar_tidur,spec_kamar_tidur_pembantu,spec_kondisi_properti,spec_luas_bangunan,spec_luas_tanah,spec_sertifikat,building_size,description,electricity,floors,installment_info,land_size,location,original_price,original_price_numeric,posted_by,price,price_numeric,property_type,savings,title,updated_date,url
https://www.rumah123.com/properti/jakarta-barat/hos19478420/,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,"Duri Kepa, Jakarta Barat","Rp 2,39 Miliar",2390000000.0,Rp 2.5 M,2500000000.0,Rp 100 Jutaan,Rumah,180,72,3300 Watt,3,15 Mei 2025,Ignatius Irwan Hidayat,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",Cicilan mulai Rp 12 Jutaan/bulan,kamar tidur: 4; kamar mandi: 4; luas tanah: 72 m²; luas bangunan: 180 m²; carport: 1; sertifikat: SHM; daya listrik: 3300 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 3; kondisi properti: Bagus,1,3300 Watt,,3,4,1,4,1,Bagus,180 m²,72 m²,SHM,180,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",3300 Watt,3,Cicilan mulai Rp 12 Jutaan/bulan,72,"Duri Kepa, Jakarta Barat",Rp 2.5 M,2500000000.0,Ignatius Irwan Hidayat,"Rp 2,39 Miliar",2390000000.0,Rumah,Rp 100 Jutaan,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,15 Mei 2025,https://www.rumah123.com/properti/jakarta-barat/hos19478420/
https://www.rumah123.com/properti/jakarta-selatan/hos18964155/,Dijual Cepat Rumah Cantik Tanah Luas 1600 Meter Harga Murah Bisa Buat Kantor Atau Kost Atau Cafe Atau Compound Atau Mini Townhouse Atau Restoran Lokasi Strategis Dekat Pinggir Jalan Raya Area Kemang Ampera Raya Jakarta Selatan,"Kemang, Jakarta Selatan","Rp 34,9 Miliar",34900000000.0,,,,Rumah,700,1600,23000 Watt,1,15 Mei 2025,Salsa,"Dijual Cepat Rumah Mewah Tanah Harga Murah Parkiran Banyak Area  Ampera  Kemang, Jakarta Selatan 

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
5 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35 M nego",Cicilan mulai Rp 179 Jutaan/bulan,kamar tidur: 5; kamar mandi: 3; luas tanah: 1600 m²; luas bangunan: 700 m²; carport: 11; sertifikat: SHM; daya listrik: 23000 Watt; kamar tidur pembantu: 3; kamar mandi pembantu: 1; jumlah lantai: 1; kondisi properti: Bagus,11,23000 Watt,,1,3,1,5,3,Bagus,700 m²,1600 m²,SHM,700,"Dijual Cepat Rumah Mewah Tanah Harga Murah Parkiran Banyak Area  Ampera  Kemang, Jakarta Selatan 

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
5 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35 M nego",23000 Watt,1,Cicilan mulai Rp 179 Jutaan/bulan,1600,"Kemang, Jakarta Selatan",,,Salsa,"Rp 34,9 Miliar",34900000000.0,Rumah,,Dijual Cepat Rumah Cantik Tanah Luas 1600 Meter Harga Murah Bisa Buat Kantor Atau Kost Atau Cafe Atau Compound Atau Mini Townhouse Atau Restoran Lokasi Strategis Dekat Pinggir Jalan Raya Area Kemang Ampera Raya Jakarta Selatan,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos18964155/
https://www.rumah123.com/properti/jakarta-selatan/hos15124965/,Rumah dijual Di Cluster Pondok Indah Jakarta Selatan,"Pondok Indah, Jakarta Selatan",Rp 13 Miliar,13000000000.0,,,,Rumah,300,296,5500 Watt,2,15 Mei 2025,Wida Satrijo,"Rumah terletak dalam cluster yang aman dan asri bergaya minimalis dekat Pondok Indah
Area hijau asri pepohonan menambah nilai estetika di lingkungan hunian. 
Sangat dekat dengan Pusat Bisnis Pondok Indah dan dilalui oleh Trans Jakarta .

Spesifikasi :

  - Kamar Tidur: 4
  - Kamar Mandi: 5
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 5500 W
  - Arah Bangunan: Menghadap Selatan
  - Kondisi Perabotan: Semi Furnished

Dilengkapi dengan:

  - Wastafel.
  - Kulkas.
  - AC.
  - Keamanan 24 jam.
  - Taman.
  - One Gate System.
  - Taman Bermain.
  - Tempat Jemuran.
  - Taman.
  - Lapangan Basket.

Fitur unggulan:
  - Dekat Pusat Bisnis.
  - Akses Jalan Muat 2 Mobil.
  - One Gate System.

Berlokasi hanya 5 menit ke Pondok Indah Mall, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 13.000.000.xxx, anda bisa memiliki hunian eksklusif yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. 

Kontak segera untuk informasi lebih lanjut!",Cicilan mulai Rp 66 Jutaan/bulan,kamar tidur: 4; kamar mandi: 5; luas tanah: 296 m²; luas bangunan: 300 m²; carport: 2; sertifikat: SHM; daya listrik: 5500 Watt; kamar tidur pembantu: 2; kamar mandi pembantu: 1; garasi: 2; jumlah lantai: 2; kondisi properti: Bagus,2,5500 Watt,2,2,5,1,4,2,Bagus,300 m²,296 m²,SHM,300,"Rumah terletak dalam cluster yang aman dan asri bergaya minimalis dekat Pondok Indah
Area hijau asri pepohonan menambah nilai estetika di lingkungan hunian. 
Sangat dekat dengan Pusat Bisnis Pondok Indah dan dilalui oleh Trans Jakarta .

Spesifikasi :

  - Kamar Tidur: 4
  - Kamar Mandi: 5
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 5500 W
  - Arah Bangunan: Menghadap Selatan
  - Kondisi Perabotan: Semi Furnished

Dilengkapi dengan:

  - Wastafel.
  - Kulkas.
  - AC.
  - Keamanan 24 jam.
  - Taman.
  - One Gate System.
  - Taman Bermain.
  - Tempat Jemuran.
  - Taman.
  - Lapangan Basket.

Fitur unggulan:
  - Dekat Pusat Bisnis.
  - Akses Jalan Muat 2 Mobil.
  - One Gate System.

Berlokasi hanya 5 menit ke Pondok Indah Mall, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 13.000.000.xxx, anda bisa memiliki hunian eksklusif yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. 

Kontak segera untuk informasi lebih lanjut!",5500 Watt,2,Cicilan mulai Rp 66 Jutaan/bulan,296,"Pondok Indah, Jakarta Selatan",,,Wida Satrijo,Rp 13 Miliar,13000000000.0,Rumah,,Rumah dijual Di Cluster Pondok Indah Jakarta Selatan,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos15124965/
https://www.rumah123.com/properti/jakarta-selatan/hos39116026/,Dijual Cepat ! Termurah Rumah Bona Indah 5 Kamar Tidur Di Lebak Bulus,"Lebak Bulus, Jakarta Selatan","Rp 6,3 Miliar",6300000000.0,,,,Rumah,268,331,Lainnya,2,15 Mei 2025,Sari Property,"DIJUAL 
Rumah Taman Bona Indah

Luas Tanah 331 m2
Luas bangunan 268 m2
KT 4 + 1
KM 3 +1
Listrik 5500
Dapur bersih dan dapur kotor
Garasi 2
Carpot 2
Unfurnished
Depan Taman
Taman depan dan belakang
SHM
Bagunan kokoh terawat

Harga : 6,3 Milyar 

Hubungi : 
Sari GRAHA
0812-802-8xxx8",Cicilan mulai Rp 32 Jutaan/bulan,kamar tidur: 5; kamar mandi: 4; luas tanah: 331 m²; luas bangunan: 268 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; garasi: 2; jumlah lantai: 2; kondisi properti: Bagus,2,Lainnya,2,2,4,,5,,Bagus,268 m²,331 m²,SHM,268,"DIJUAL 
Rumah Taman Bona Indah

Luas Tanah 331 m2
Luas bangunan 268 m2
KT 4 + 1
KM 3 +1
Listrik 5500
Dapur bersih dan dapur kotor
Garasi 2
Carpot 2
Unfurnished
Depan Taman
Taman depan dan belakang
SHM
Bagunan kokoh terawat

Harga : 6,3 Milyar 

Hubungi : 
Sari GRAHA
0812-802-8xxx8",Lainnya,2,Cicilan mulai Rp 32 Jutaan/bulan,331,"Lebak Bulus, Jakarta Selatan",,,Sari Property,"Rp 6,3 Miliar",6300000000.0,Rumah,,Dijual Cepat ! Termurah Rumah Bona Indah 5 Kamar Tidur Di Lebak Bulus,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39116026/
https://www.rumah123.com/properti/jakarta-selatan/hos39117049/,"Di Jual Cepat Rumah Bisa Silent Office Atau Multifungsi Atau Bisa Buat Ruang Usaha Atau Tempat Tinggal Atau Bisa Buat Kost Kostan Atau Perkantoran Atau Restoran Atau Cafe Atau Lainnya Harga Rp.15,9m Nego Area Cilandak Dekat Pondok Indah Fatmawati Jakarta","Cilandak, Jakarta Selatan","Rp 15,9 Miliar",15900000000.0,,,,Rumah,400,488,10600 Watt,2,15 Mei 2025,Salsa,"Di jual Cepat Rumah Bisa Silent Office atau Multifungsi atau bisa buat ruang usaha atau tempat tinggal atau bisa buat kost kostan atau perkantoran atau restoran atau cafe atau lainnya harga Rp.15,9M nego  Area Cilandak Dekat Pondok indah Fatmawati Jakarta Selatan

Luas tanah 488 meter
Luas bangunan 400 meter
Kamar tidur 5
Kamar mandi 4
Taman
Carport/ garasi bisa 14 mobil

Harga Rp.15.9M nego",Cicilan mulai Rp 81 Jutaan/bulan,kamar tidur: 5; kamar mandi: 4; luas tanah: 488 m²; luas bangunan: 400 m²; carport: 15; sertifikat: SHM; daya listrik: 10600 Watt; kamar tidur pembantu: 2; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Renovasi Minimum,15,10600 Watt,,2,4,1,5,2,Renovasi Minimum,400 m²,488 m²,SHM,400,"Di jual Cepat Rumah Bisa Silent Office atau Multifungsi atau bisa buat ruang usaha atau tempat tinggal atau bisa buat kost kostan atau perkantoran atau restoran atau cafe atau lainnya harga Rp.15,9M nego  Area Cilandak Dekat Pondok indah Fatmawati Jakarta Selatan

Luas tanah 488 meter
Luas bangunan 400 meter
Kamar tidur 5
Kamar mandi 4
Taman
Carport/ garasi bisa 14 mobil

Harga Rp.15.9M nego",10600 Watt,2,Cicilan mulai Rp 81 Jutaan/bulan,488,"Cilandak, Jakarta Selatan",,,Salsa,"Rp 15,9 Miliar",15900000000.0,Rumah,,"Di Jual Cepat Rumah Bisa Silent Office Atau Multifungsi Atau Bisa Buat Ruang Usaha Atau Tempat Tinggal Atau Bisa Buat Kost Kostan Atau Perkantoran Atau Restoran Atau Cafe Atau Lainnya Harga Rp.15,9m Nego Area Cilandak Dekat Pondok Indah Fatmawati Jakarta",15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39117049/
https://www.rumah123.com/properti/jakarta-utara/hos19040391/,"Rumah 3 Lantai Baru Renovasi Semi Furnished, Kelapa Gading SHM","Kelapa Gading, Jakarta Utara","Rp 3,95 Miliar",3950000000.0,,,,Rumah,320,120,Lainnya,3,15 Mei 2025,Hera Kwan,"Dijual cepat :
@Kelapa Gading

LT.  6x20 m2
LB. 320 m2
Rmh baru renovasi
3 lantai
Kitchen set (new) 
Lantai marmer 
Kt    5+1
Km  3+1
Row 3 mobil
Shm

Harga jual : 3.95 M 


Hub. 
Hera Tjoeng
GPS",Cicilan mulai Rp 20 Jutaan/bulan,kamar tidur: 5; kamar mandi: 3; luas tanah: 120 m²; luas bangunan: 320 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 3; kondisi properti: Sudah Renovasi,2,Lainnya,,3,3,1,5,1,Sudah Renovasi,320 m²,120 m²,SHM,320,"Dijual cepat :
@Kelapa Gading

LT.  6x20 m2
LB. 320 m2
Rmh baru renovasi
3 lantai
Kitchen set (new) 
Lantai marmer 
Kt    5+1
Km  3+1
Row 3 mobil
Shm

Harga jual : 3.95 M 


Hub. 
Hera Tjoeng
GPS",Lainnya,3,Cicilan mulai Rp 20 Jutaan/bulan,120,"Kelapa Gading, Jakarta Utara",,,Hera Kwan,"Rp 3,95 Miliar",3950000000.0,Rumah,,"Rumah 3 Lantai Baru Renovasi Semi Furnished, Kelapa Gading SHM",15 Mei 2025,https://www.rumah123.com/properti/jakarta-utara/hos19040391/
https://www.rumah123.com/properti/jakarta-utara/hos38840092/,Di Jual Bu Murah Rumah 4.5x10 2 Lantai Pik 2 Milenial,"Pantai Indah Kapuk, Jakarta Utara",Rp 945 Juta,945000000.0,,,,Rumah,54,45,4400 Watt,2,09 Mei 2025,Erpik Kasmadi,"Rumah bergaya minimalis di Pantai Indah Kapuk.

Miliki rumah 2 lantai yang modern ini,  dijual dengan pemandangan permukiman warga yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah strategis serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.

Spesifikasi Utama Properti:

  - Kamar Tidur: 2
  - Kamar Mandi: 2
  - Sertifikat: PPJB
  - Daya Listrik: 4400 W
  - Arah Bangunan: Menghadap Utara
  - Kondisi Perabotan: Unfurnished

Dilengkapi dengan:

  - Keamanan 24 jam.
  - Akses Parkir.
  - One Gate System.
  - Taman.
  - Tempat Jemuran.
  - Tempat Jemuran.

Fitur unggulan:

  - Siap Huni.
  - Bebas Banjir.
  - Dekat Akses Bandara.
  - Dekat Sekolah Internasional.
  - Dekat Fasilitas Kesehatan.
  - Dekat Tempat Wisata.
  - Dekat Tempat Ibadah.
  - Lokasi Pinggiran Kota.
  - Dekat Kawasan Bisnis & Industri.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Cocok Untuk Investasi.
  - Cocok Untuk Dijual Kembali.
  - Properti Bisa Nego.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.

Terletak di Pantai Indah Kapuk, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 945.000.xxx, anda bisa memiliki hunian istimewa yang sudah siap huni dan bersertifikat PPJB. Jangan lewatkan kesempatan untuk menikmati investasi di kawasan Pantai Indah Kapuk yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!",,kamar tidur: 2; kamar mandi: 2; luas tanah: 45 m²; luas bangunan: 54 m²; carport: 1; sertifikat: PPJB; daya listrik: 4400 Watt; garasi: 1; jumlah lantai: 2; kondisi properti: Bagus,1,4400 Watt,1,2,2,,2,,Bagus,54 m²,45 m²,PPJB,54,"Rumah bergaya minimalis di Pantai Indah Kapuk.

Miliki rumah 2 lantai yang modern ini,  dijual dengan pemandangan permukiman warga yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah strategis serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.

Spesifikasi Utama Properti:

  - Kamar Tidur: 2
  - Kamar Mandi: 2
  - Sertifikat: PPJB
  - Daya Listrik: 4400 W
  - Arah Bangunan: Menghadap Utara
  - Kondisi Perabotan: Unfurnished

Dilengkapi dengan:

  - Keamanan 24 jam.
  - Akses Parkir.
  - One Gate System.
  - Taman.
  - Tempat Jemuran.
  - Tempat Jemuran.

Fitur unggulan:

  - Siap Huni.
  - Bebas Banjir.
  - Dekat Akses Bandara.
  - Dekat Sekolah Internasional.
  - Dekat Fasilitas Kesehatan.
  - Dekat Tempat Wisata.
  - Dekat Tempat Ibadah.
  - Lokasi Pinggiran Kota.
  - Dekat Kawasan Bisnis & Industri.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Cocok Untuk Investasi.
  - Cocok Untuk Dijual Kembali.
  - Properti Bisa Nego.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.

Terletak di Pantai Indah Kapuk, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 945.000.xxx, anda bisa memiliki hunian istimewa yang sudah siap huni dan bersertifikat PPJB. Jangan lewatkan kesempatan untuk menikmati investasi di kawasan Pantai Indah Kapuk yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!",4400 Watt,2,,45,"Pantai Indah Kapuk, Jakarta Utara",,,Erpik Kasmadi,Rp 945 Juta,945000000.0,Rumah,,Di Jual Bu Murah Rumah 4.5x10 2 Lantai Pik 2 Milenial,09 Mei 2025,https://www.rumah123.com/properti/jakarta-utara/hos38840092/
https://www.rumah123.com/properti/jakarta-selatan/hos39124900/,Dijual Cepat Rumah Mewah Siap Huni Private Lift Harga Rp.51 M Nego Area Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega Kuningan Jakarta Selatanarea Mentri & Dubes,"Mega Kuningan, Jakarta Selatan",Rp 51 Miliar,51000000000.0,,,,Rumah,1100,540,33000 Watt,3,15 Mei 2025,Salsa,"Dijual Cepat Rumah mewah  Siap Huni Private Lift Harga Rp.50,9 M Area  Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega 
Kuningan jakarta selatan
Area mentri & Dubes

Luas tanah 540 meter 
Luas bangunan 1100 meter 
Kamar tidur 4
Kamar mandi 4
Kamar asisten 2
Kamar mandi 2
Swimming poil
Private lift
Lantai full slab marmer
Garasi 3 mobil
Carport 2 mobil
SHM IMB
Harga 51 M Nego",Cicilan mulai Rp 262 Jutaan/bulan,kamar tidur: 4; kamar mandi: 4; luas tanah: 540 m²; luas bangunan: 1100 m²; carport: 5; sertifikat: SHM; daya listrik: 33000 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 2; jumlah lantai: 3; kondisi properti: Bagus,5,33000 Watt,,3,4,2,4,1,Bagus,1100 m²,540 m²,SHM,1100,"Dijual Cepat Rumah mewah  Siap Huni Private Lift Harga Rp.50,9 M Area  Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega 
Kuningan jakarta selatan
Area mentri & Dubes

Luas tanah 540 meter 
Luas bangunan 1100 meter 
Kamar tidur 4
Kamar mandi 4
Kamar asisten 2
Kamar mandi 2
Swimming poil
Private lift
Lantai full slab marmer
Garasi 3 mobil
Carport 2 mobil
SHM IMB
Harga 51 M Nego",33000 Watt,3,Cicilan mulai Rp 262 Jutaan/bulan,540,"Mega Kuningan, Jakarta Selatan",,,Salsa,Rp 51 Miliar,51000000000.0,Rumah,,Dijual Cepat Rumah Mewah Siap Huni Private Lift Harga Rp.51 M Nego Area Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega Kuningan Jakarta Selatanarea Mentri & Dubes,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39124900/
https://www.rumah123.com/properti/jakarta-selatan/hos16797598/,"For Sale Dijual Cepat Rumah Cantik Asri Single House Private Pool Harga Murah Rp.34,9 M nego sampai deal Lokasi Tenang Dan Strategis Dekat Sekolah Dan Perkantoran Taman Luas Siap Huni Harga Murah Area Kemang Ampera Jakarta Selatan","Ampera, Jakarta Selatan","Rp 34,9 Miliar",34900000000.0,Rp 35 M,35000000000.0,Rp 100 Jutaan,Rumah,700,1600,23000 Watt,1,15 Mei 2025,Salsa,"For Sale(Unfurnished)
Jl. Ampera , Kemang, South Jakarta

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
4 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35M",Cicilan mulai Rp 179 Jutaan/bulan,kamar tidur: 5; kamar mandi: 3; luas tanah: 1600 m²; luas bangunan: 700 m²; carport: 10; sertifikat: SHM; daya listrik: 23000 Watt; kamar tidur pembantu: 2; kamar mandi pembantu: 1; jumlah lantai: 1; kondisi properti: Bagus,10,23000 Watt,,1,3,1,5,2,Bagus,700 m²,1600 m²,SHM,700,"For Sale(Unfurnished)
Jl. Ampera , Kemang, South Jakarta

Land 1.600+ sqm 
Building +- 700 sqm
Garage and Car Port up to 10 cars
Electricity 23.000 Watt
CCTV
Solar Panel Water Heater
4 Bedrooms
3 Bathrooms + 1 Powder Room
Guest Sitting Room
Big Screen TV/Entertainment Room
Living Room
Large Kitchen
Music/Hobby Room
Study/Library Room
Swimming Pool + 1 Bathroom
3 Maid Rooms + 1 Bathroom
Maid Kitchen 
Tropical Fruit Trees (Rambutan, Mangga, Sukun, Jambu Air)
SHM on Hand

Price: IDR 35M",23000 Watt,1,Cicilan mulai Rp 179 Jutaan/bulan,1600,"Ampera, Jakarta Selatan",Rp 35 M,35000000000.0,Salsa,"Rp 34,9 Miliar",34900000000.0,Rumah,Rp 100 Jutaan,"For Sale Dijual Cepat Rumah Cantik Asri Single House Private Pool Harga Murah Rp.34,9 M nego sampai deal Lokasi Tenang Dan Strategis Dekat Sekolah Dan Perkantoran Taman Luas Siap Huni Harga Murah Area Kemang Ampera Jakarta Selatan",15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos16797598/
https://www.rumah123.com/properti/jakarta-selatan/hos17758409/,AKSES DILEWATI ANGKUTAN UMUM.,"Jagakarsa, Jakarta Selatan","Rp 1,77 Miliar",1770000000.0,Rp 1.9 M,1900000000.0,Rp 106 Jutaan,Rumah,120,76,Lainnya,2,15 Mei 2025,toro Toro,"HARGA SPECIAL 1,775 M.

COZY HOUSE PREMIUM 
Akses dilewati angkutan umum
Listrik Under ground
One gate system
Lokasi di Jalan Srengseng sawah Jagakarsa Jak Sel.

Spesifikasi :
Lt. 70 m2
Lb. 120 m2
KT 3 + 1
KM 3 + 1
Special Balcony
Carport 2 mobil
Listrik Under ground
Pos security
One gate sistem 
CCTV Monitoring
Row jalan 5 meter.

SELLING POINT
Di lewati jaklinko / transmisi jakarta
Dekat ke stasiun kereta Univ Pancasila, Lenteng Agung. 
Bebas Banjir (kontur tanah yg tinggi dan terbukti saat musim hujan tahun ini)
Dekat ke pintu tol kukusan dan tb simatupang 
Dekat ke simatupang 
Dekat fasilitas kesehatan
Dekat mini market & modern market (Fortune, Naga Swalayan dan Superindo)
Dekat sekolah negeri favorit & internasional
Dekat kantor perbankan & perkantoran tb simatupang

Legalitas : SHM & PBG/IMB.

Harga 1,775 M negotiable 

Cash & Kpr

Manfaatkan watktu terbatas untuk mendapatkan harga special.

Segera hubungi marketing kami :
Call/Chat : 0818115xxx",Cicilan mulai Rp 9 Jutaan/bulan,kamar tidur: 3; kamar mandi: 3; luas tanah: 76 m²; luas bangunan: 120 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Baru,2,Lainnya,,2,3,1,3,1,Baru,120 m²,76 m²,SHM,120,"HARGA SPECIAL 1,775 M.

COZY HOUSE PREMIUM 
Akses dilewati angkutan umum
Listrik Under ground
One gate system
Lokasi di Jalan Srengseng sawah Jagakarsa Jak Sel.

Spesifikasi :
Lt. 70 m2
Lb. 120 m2
KT 3 + 1
KM 3 + 1
Special Balcony
Carport 2 mobil
Listrik Under ground
Pos security
One gate sistem 
CCTV Monitoring
Row jalan 5 meter.

SELLING POINT
Di lewati jaklinko / transmisi jakarta
Dekat ke stasiun kereta Univ Pancasila, Lenteng Agung. 
Bebas Banjir (kontur tanah yg tinggi dan terbukti saat musim hujan tahun ini)
Dekat ke pintu tol kukusan dan tb simatupang 
Dekat ke simatupang 
Dekat fasilitas kesehatan
Dekat mini market & modern market (Fortune, Naga Swalayan dan Superindo)
Dekat sekolah negeri favorit & internasional
Dekat kantor perbankan & perkantoran tb simatupang

Legalitas : SHM & PBG/IMB.

Harga 1,775 M negotiable 

Cash & Kpr

Manfaatkan watktu terbatas untuk mendapatkan harga special.

Segera hubungi marketing kami :
Call/Chat : 0818115xxx",Lainnya,2,Cicilan mulai Rp 9 Jutaan/bulan,76,"Jagakarsa, Jakarta Selatan",Rp 1.9 M,1900000000.0,toro Toro,"Rp 1,77 Miliar",1770000000.0,Rumah,Rp 106 Jutaan,AKSES DILEWATI ANGKUTAN UMUM.,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos17758409/
